"n" "rep" "id" "beta_0_hat" "beta_1_hat" "gamma_0_hat" "gamma_1_hat" "error" "errorMessage"
500 29 189 -1.0742407426899 3.28573868849613 1.59539127070944 -3.20630655797951 FALSE ""
700 99 190 -1.25521159262302 3.41405491379638 1.98112526351713 -3.43448660189464 FALSE ""
1000 92 191 -1.35009092787004 3.39940507489638 2.0816819367639 -3.13491111636374 FALSE ""
700 146 192 -1.27983189389427 3.39108233676651 2.21675139994682 -3.64575621449644 FALSE ""
800 90 193 -1.37255577709825 3.35387808820447 2.33342928090731 -3.50312088995986 FALSE ""
700 173 194 -1.20852343311679 3.2120399951578 2.12950299071893 -3.29586474615102 FALSE ""
700 40 195 -1.34790067748945 3.55382875413693 1.89854297146759 -3.35404288407385 FALSE ""
700 52 196 -1.37707652828045 3.4777308163986 2.1179740056394 -3.50856635294711 FALSE ""
400 133 197 -1.29554452843551 3.4058373542858 1.90773536799986 -3.21691649401646 FALSE ""
500 93 198 -1.28209329375367 3.50740423304168 1.93886726144855 -3.13676676771278 FALSE ""
400 34 199 -1.37949004168057 3.41237822816256 2.26824229364014 -3.36500644509168 FALSE ""
400 199 200 -1.17914766560389 3.31316395269419 1.454288808282 -3.0220685989938 FALSE ""
400 94 201 -1.26167376755012 3.39519270008783 2.10795241174491 -3.42385988181501 FALSE ""
600 84 202 -1.37211675774932 3.42503826858275 2.39005930479234 -3.5158415099864 FALSE ""
1000 160 203 -1.34214044542742 3.54381444929468 1.8228888328993 -3.13617971098334 FALSE ""
400 69 204 -1.29391970775289 3.31795926343693 2.25419634390337 -3.76343023660145 FALSE ""
600 26 205 -1.28235256641617 3.36251256896279 1.97255433764135 -3.16060751698577 FALSE ""
700 112 206 0.678659372983146 3.44944741408039 -2.27678166599835 -2.59607953220239 FALSE ""
700 128 207 -1.33975104063475 3.43958708365901 2.32557177165192 -3.76999899166106 FALSE ""
800 104 208 -1.20106062743888 3.31576488127812 1.89860480170243 -3.37208919051154 FALSE ""
1000 176 209 -1.24931903980848 3.37833440874134 1.97469525225366 -3.25416289063654 FALSE ""
